"","Location","Year","Location2","Underpass.type","annual.effort","annual.traffic","annual.human","Total"
"1","Stewart South Jumpout",2008,"Stewart Creek","Jumpout",1,696.605988160291,32.7272727272727,4
"2","Stewart South Jumpout",2009,"Stewart Creek","Jumpout",2,704.570662100457,32.7272727272727,39
"3","Stewart South Jumpout",2010,"Stewart Creek","Jumpout",1,715.680479452055,32.7272727272727,29
"4","Stewart South Jumpout",2011,"Stewart Creek","Jumpout",8,720.071917808219,32.7272727272727,25
"5","Stewart South Jumpout",2012,"Stewart Creek","Jumpout",18,752.044057377049,32.7272727272727,4
"6","Stewart South Jumpout",2013,"Stewart Creek","Jumpout",17,768.992922374429,32.7272727272727,8
"7","Stewart South Jumpout",2014,"Stewart Creek","Jumpout",17,823.211529680365,32.7272727272727,1
"8","Stewart South Jumpout",2015,"Stewart Creek","Jumpout",13,884.334589041096,32.7272727272727,7
"9","Stewart South Jumpout",2016,"Stewart Creek","Jumpout",11,930.911657559198,32.7272727272727,21
"10","Stewart South Jumpout",2017,"Stewart Creek","Jumpout",11,946.533736727937,32.7272727272727,28
"11","Stewart South Jumpout",2018,"Stewart Creek","Jumpout",12,950.874001996008,32.7272727272727,7
"12","Stewart Creek Underpass",2008,"Stewart Creek","Underpass",5,696.605988160291,50,237
"13","Stewart Creek Underpass",2009,"Stewart Creek","Underpass",0,704.570662100457,50,203
"14","Stewart Creek Underpass",2010,"Stewart Creek","Underpass",1,715.680479452055,50,322
"15","Stewart Creek Underpass",2011,"Stewart Creek","Underpass",5,720.071917808219,50,188
"16","Stewart Creek Underpass",2012,"Stewart Creek","Underpass",19,752.044057377049,50,339
"17","Stewart Creek Underpass",2013,"Stewart Creek","Underpass",17,768.992922374429,50,241
"18","Stewart Creek Underpass",2014,"Stewart Creek","Underpass",15,823.211529680365,50,303
"19","stewart Creek Underpass",2015,"Stewart Creek","Underpass",0,884.334589041096,50,51
"20","Stewart Creek Underpass",2015,"Stewart Creek","Underpass",13,884.334589041096,50,345
"21","Stewart Creek Underpass",2016,"Stewart Creek","Underpass",12,930.911657559198,50,829
"22","Stewart Creek Underpass",2017,"Stewart Creek","Underpass",12,946.533736727937,50,422
"23","Stewart Creek Underpass",2018,"Stewart Creek","Underpass",12,950.874001996008,50,208
"24","Wind Valley Underpass",2008,"Wind Valley","Underpass",5,696.605988160291,65.2727272727273,121
"25","Wind Valley Underpass",2009,"Wind Valley","Underpass",4,704.570662100457,65.2727272727273,136
"26","Wind Valley Underpass",2010,"Wind Valley","Underpass",1,715.680479452055,65.2727272727273,201
"27","Wind Valley Underpass",2011,"Wind Valley","Underpass",13,720.071917808219,65.2727272727273,266
"28","Wind Valley Underpass",2012,"Wind Valley","Underpass",19,752.044057377049,65.2727272727273,251
"29","Wind Valley Underpass",2013,"Wind Valley","Underpass",17,768.992922374429,65.2727272727273,207
"30","Wind Valley Underpass",2014,"Wind Valley","Underpass",18,823.211529680365,65.2727272727273,129
"31","Wind Valley Underpass",2015,"Wind Valley","Underpass",13,884.334589041096,65.2727272727273,159
"32","Wind Valley Underpass",2016,"Wind Valley","Underpass",12,930.911657559198,65.2727272727273,304
"33","Wind Valley Underpass",2017,"Wind Valley","Underpass",12,946.533736727937,65.2727272727273,220
"34","Wind Valley Underpass",2018,"Wind Valley","Underpass",12,950.874001996008,65.2727272727273,214
"35","Deadmans South Jumpout",2008,"Dead Man's","Jumpout",1,696.605988160291,193.272727272727,4
"36","Deadmans Northeast Jumpout",2009,"Dead Man's","Jumpout",0,704.570662100457,193.272727272727,40
"37","Deadmans South Jumpout",2009,"Dead Man's","Jumpout",2,704.570662100457,193.272727272727,92
"38","Deadmans Northeast Jumpout",2010,"Dead Man's","Jumpout",2,715.680479452055,193.272727272727,108
"39","Deadmans Northwest Jumpout",2010,"Dead Man's","Jumpout",2,715.680479452055,193.272727272727,18
"40","Deadmans South Jumpout",2010,"Dead Man's","Jumpout",3,715.680479452055,193.272727272727,69
"41","Deadmans Northwest Jumpout",2011,"Dead Man's","Jumpout",3,720.071917808219,193.272727272727,9
"42","Deadmans South Jumpout",2011,"Dead Man's","Jumpout",3,720.071917808219,193.272727272727,114
"43","Deadmans Northeast Jumpout",2011,"Dead Man's","Jumpout",10,720.071917808219,193.272727272727,253
"44","Deadmans Northeast Jumpout",2012,"Dead Man's","Jumpout",16,752.044057377049,193.272727272727,101
"45","Deadmans South Jumpout",2012,"Dead Man's","Jumpout",18,752.044057377049,193.272727272727,61
"46","Deadmans Northeast Jumpout",2013,"Dead Man's","Jumpout",10,768.992922374429,193.272727272727,63
"47","Deadmans South Jumpout",2013,"Dead Man's","Jumpout",17,768.992922374429,193.272727272727,15
"48","Deadmans Northeast Jumpout",2014,"Dead Man's","Jumpout",9,823.211529680365,193.272727272727,112
"49","Deadmans Northwest Jumpout",2014,"Dead Man's","Jumpout",17,823.211529680365,193.272727272727,1
"50","Deadmans South Jumpout",2014,"Dead Man's","Jumpout",17,823.211529680365,193.272727272727,8
"51","Deadmans Northeast Jumpout",2015,"Dead Man's","Jumpout",13,884.334589041096,193.272727272727,87
"52","Deadmans South Jumpout",2015,"Dead Man's","Jumpout",13,884.334589041096,193.272727272727,27
"53","Deadmans Northeast Jumpout",2016,"Dead Man's","Jumpout",11,930.911657559198,193.272727272727,35
"54","Deadmans South Jumpout",2016,"Dead Man's","Jumpout",11,930.911657559198,193.272727272727,35
"55","Deadmans Northeast Jumpout",2017,"Dead Man's","Jumpout",11,946.533736727937,193.272727272727,74
"56","Deadmans Northwest Jumpout",2017,"Dead Man's","Jumpout",11,946.533736727937,193.272727272727,3
"57","Deadmans South Jumpout",2017,"Dead Man's","Jumpout",12,946.533736727937,193.272727272727,46
"58","Deadmans Northeast Jumpout",2018,"Dead Man's","Jumpout",11,950.874001996008,193.272727272727,25
"59","Deadmans Northwest Jumpout",2018,"Dead Man's","Jumpout",12,950.874001996008,193.272727272727,1
"60","Deadmans South Jumpout",2018,"Dead Man's","Jumpout",12,950.874001996008,193.272727272727,10
